seqnames	start	end	width	strand	ratio	read.corrected
19	48285000	48289999	5000	*	1.09402719072242	1.09402719072242
19	48290000	48294999	5000	*	1.16413451675418	1.16413451675418
19	48295000	48299999	5000	*	1.05888944872553	1.05888944872553
19	48300000	48304999	5000	*	1.04950848172676	1.04950848172676
19	48305000	48309999	5000	*	1.0899796584527	1.0899796584527
19	48310000	48314999	5000	*	1.1114823730878	1.1114823730878
19	48315000	48319999	5000	*	1.12104462379724	1.12104462379724
19	48320000	48324999	5000	*	1.11621613081857	1.11621613081857
19	48325000	48329999	5000	*	1.09240558291465	1.09240558291465
19	48330000	48334999	5000	*	1.06224233230069	1.06224233230069
19	48335000	48339999	5000	*	1.07320299360255	1.07320299360255
19	48340000	48344999	5000	*	1.13104549031918	1.13104549031918
19	48345000	48349999	5000	*	1.05466365597708	1.05466365597708
19	48350000	48354999	5000	*	1.10269529838094	1.10269529838094
19	48355000	48359999	5000	*	1.15263518247942	1.15263518247942
19	48360000	48364999	5000	*	1.0807395224995	1.0807395224995
19	48365000	48369999	5000	*	1.15619781257482	1.15619781257482
19	48370000	48374999	5000	*	1.08812654431083	1.08812654431083
19	48375000	48379999	5000	*	1.07149683764787	1.07149683764787
19	48380000	48384999	5000	*	1.0679811181055	1.0679811181055
19	48385000	48389999	5000	*	1.05415816895919	1.05415816895919
19	48390000	48394999	5000	*	1.19217504852489	1.19217504852489
19	48395000	48399999	5000	*	1.05930062567709	1.05930062567709
19	48400000	48404999	5000	*	1.08927756413446	1.08927756413446
19	48405000	48409999	5000	*	1.09599518019408	1.09599518019408
19	48410000	48414999	5000	*	Inf	Inf
19	48415000	48419999	5000	*	1.13595115884064	1.13595115884064
19	48420000	48424999	5000	*	Inf	Inf
19	48425000	48429999	5000	*	0.982025464487772	0.982025464487772
19	48430000	48434999	5000	*	0.97392058041953	0.97392058041953
19	48435000	48439999	5000	*	0.401002296027208	0.401002296027208
19	48440000	48444999	5000	*	1.34405530917087	1.34405530917087
19	48445000	48449999	5000	*	1.08158280478241	1.08158280478241
19	48450000	48454999	5000	*	1.15070354026376	1.15070354026376
19	48455000	48459999	5000	*	Inf	Inf
19	48460000	48464999	5000	*	1.04370968578554	1.04370968578554
19	48465000	48469999	5000	*	1.13058485428318	1.13058485428318
19	48470000	48474999	5000	*	1.09041546775371	1.09041546775371
19	48475000	48479999	5000	*	1.02349874840546	1.02349874840546
19	48480000	48484999	5000	*	1.08485462712737	1.08485462712737
19	48485000	48489999	5000	*	1.08727685704842	1.08727685704842
19	48490000	48494999	5000	*	1.10269406454244	1.10269406454244
19	48495000	48499999	5000	*	1.06856277534374	1.06856277534374
19	48500000	48504999	5000	*	1.06227509603281	1.06227509603281
19	48505000	48509999	5000	*	1.05373633876807	1.05373633876807
19	48510000	48514999	5000	*	1.12969898335396	1.12969898335396
19	48515000	48519999	5000	*	1.08424006699102	1.08424006699102
19	48520000	48524999	5000	*	1.09902572229424	1.09902572229424
19	48525000	48529999	5000	*	1.09941446444701	1.09941446444701
19	48530000	48534999	5000	*	1.09718475812665	1.09718475812665
19	48535000	48539999	5000	*	1.01250272741158	1.01250272741158
19	48540000	48544999	5000	*	1.06957728121868	1.06957728121868
19	48545000	48549999	5000	*	1.06973416929251	1.06973416929251
19	48550000	48554999	5000	*	1.06699973258124	1.06699973258124
19	48555000	48559999	5000	*	1.05445434488138	1.05445434488138
19	48560000	48564999	5000	*	1.01241034086843	1.01241034086843
19	48565000	48569999	5000	*	1.08295967524789	1.08295967524789
19	48570000	48574999	5000	*	1.07183615195127	1.07183615195127
19	48575000	48579999	5000	*	1.07930032383236	1.07930032383236
19	48580000	48584999	5000	*	1.09287709363585	1.09287709363585
19	48585000	48589999	5000	*	1.09105337589026	1.09105337589026
19	48590000	48594999	5000	*	1.06573208995019	1.06573208995019
